V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
entrez gene/locuslink:156	entrez gene/locuslink:5579	biogrid:106665|entrez gene/locuslink:ADRBK1	biogrid:111565|entrez gene/locuslink:PRKCB	entrez gene/locuslink:BARK1(gene name synonym)|entrez gene/locuslink:BETA-ARK1(gene name synonym)|entrez gene/locuslink:GRK2(gene name synonym)	entrez gene/locuslink:PKC-beta(gene name synonym)|entrez gene/locuslink:PKCB(gene name synonym)|entrez gene/locuslink:PRKCB1(gene name synonym)|entrez gene/locuslink:PRKCB2(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Yang XL (2003)	pubmed:12679936	taxid:9606	taxid:9606	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:259364	-
entrez gene/locuslink:156	entrez gene/locuslink:5148	biogrid:106665|entrez gene/locuslink:ADRBK1	biogrid:111174|entrez gene/locuslink:PDE6G	entrez gene/locuslink:BARK1(gene name synonym)|entrez gene/locuslink:BETA-ARK1(gene name synonym)|entrez gene/locuslink:GRK2(gene name synonym)	entrez gene/locuslink:PDEG(gene name synonym)|entrez gene/locuslink:RP57(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Wan KF (2003)	pubmed:12624098	taxid:9606	taxid:9606	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:259971	-
entrez gene/locuslink:156	entrez gene/locuslink:6714	biogrid:106665|entrez gene/locuslink:ADRBK1	biogrid:112592|entrez gene/locuslink:SRC|entrez gene/locuslink:RP5-823N20.1	entrez gene/locuslink:BARK1(gene name synonym)|entrez gene/locuslink:BETA-ARK1(gene name synonym)|entrez gene/locuslink:GRK2(gene name synonym)	entrez gene/locuslink:ASV(gene name synonym)|entrez gene/locuslink:SRC1(gene name synonym)|entrez gene/locuslink:c-SRC(gene name synonym)|entrez gene/locuslink:p60-Src(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Wan KF (2003)	pubmed:12624098	taxid:9606	taxid:9606	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:259972	-
entrez gene/locuslink:6714	entrez gene/locuslink:156	biogrid:112592|entrez gene/locuslink:SRC|entrez gene/locuslink:RP5-823N20.1	biogrid:106665|entrez gene/locuslink:ADRBK1	entrez gene/locuslink:ASV(gene name synonym)|entrez gene/locuslink:SRC1(gene name synonym)|entrez gene/locuslink:c-SRC(gene name synonym)|entrez gene/locuslink:p60-Src(gene name synonym)	entrez gene/locuslink:BARK1(gene name synonym)|entrez gene/locuslink:BETA-ARK1(gene name synonym)|entrez gene/locuslink:GRK2(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Wan KF (2003)	pubmed:12624098	taxid:9606	taxid:9606	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:259974	-
entrez gene/locuslink:5148	entrez gene/locuslink:156	biogrid:111174|entrez gene/locuslink:PDE6G	biogrid:106665|entrez gene/locuslink:ADRBK1	entrez gene/locuslink:PDEG(gene name synonym)|entrez gene/locuslink:RP57(gene name synonym)	entrez gene/locuslink:BARK1(gene name synonym)|entrez gene/locuslink:BETA-ARK1(gene name synonym)|entrez gene/locuslink:GRK2(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Wan KF (2003)	pubmed:12624098	taxid:9606	taxid:9606	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:259977	-
entrez gene/locuslink:5148	entrez gene/locuslink:156	biogrid:111174|entrez gene/locuslink:PDE6G	biogrid:106665|entrez gene/locuslink:ADRBK1	entrez gene/locuslink:PDEG(gene name synonym)|entrez gene/locuslink:RP57(gene name synonym)	entrez gene/locuslink:BARK1(gene name synonym)|entrez gene/locuslink:BETA-ARK1(gene name synonym)|entrez gene/locuslink:GRK2(gene name synonym)	psi-mi:MI:0096(pull down)	Wan KF (2003)	pubmed:12624098	taxid:9606	taxid:9606	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0463(biogrid)	biogrid:259978	-
entrez gene/locuslink:156	entrez gene/locuslink:2776	biogrid:106665|entrez gene/locuslink:ADRBK1	biogrid:109038|entrez gene/locuslink:GNAQ|entrez gene/locuslink:RP11-494N1.1	entrez gene/locuslink:BARK1(gene name synonym)|entrez gene/locuslink:BETA-ARK1(gene name synonym)|entrez gene/locuslink:GRK2(gene name synonym)	entrez gene/locuslink:CMC1(gene name synonym)|entrez gene/locuslink:G-ALPHA-q(gene name synonym)|entrez gene/locuslink:GAQ(gene name synonym)|entrez gene/locuslink:SWS(gene name synonym)	psi-mi:MI:0096(pull down)	Day PW (2003)	pubmed:12885252	taxid:9606	taxid:9606	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0463(biogrid)	biogrid:255917	-
entrez gene/locuslink:156	entrez gene/locuslink:2769	biogrid:106665|entrez gene/locuslink:ADRBK1	biogrid:109031|entrez gene/locuslink:GNA15	entrez gene/locuslink:BARK1(gene name synonym)|entrez gene/locuslink:BETA-ARK1(gene name synonym)|entrez gene/locuslink:GRK2(gene name synonym)	entrez gene/locuslink:GNA16(gene name synonym)	psi-mi:MI:0096(pull down)	Day PW (2003)	pubmed:12885252	taxid:9606	taxid:9606	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0463(biogrid)	biogrid:255918	-
entrez gene/locuslink:156	entrez gene/locuslink:2776	biogrid:106665|entrez gene/locuslink:ADRBK1	biogrid:109038|entrez gene/locuslink:GNAQ|entrez gene/locuslink:RP11-494N1.1	entrez gene/locuslink:BARK1(gene name synonym)|entrez gene/locuslink:BETA-ARK1(gene name synonym)|entrez gene/locuslink:GRK2(gene name synonym)	entrez gene/locuslink:CMC1(gene name synonym)|entrez gene/locuslink:G-ALPHA-q(gene name synonym)|entrez gene/locuslink:GAQ(gene name synonym)|entrez gene/locuslink:SWS(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Day PW (2003)	pubmed:12885252	taxid:9606	taxid:9606	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:255919	-
entrez gene/locuslink:156	entrez gene/locuslink:2769	biogrid:106665|entrez gene/locuslink:ADRBK1	biogrid:109031|entrez gene/locuslink:GNA15	entrez gene/locuslink:BARK1(gene name synonym)|entrez gene/locuslink:BETA-ARK1(gene name synonym)|entrez gene/locuslink:GRK2(gene name synonym)	entrez gene/locuslink:GNA16(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Day PW (2003)	pubmed:12885252	taxid:9606	taxid:9606	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:255920	-
